sleeper ID,player,yr 1,probability 1st outcome,yr 2+ 1st outcome position rank,probability 2nd outcome,yr 2+ 2nd outcome position rank
,Trenton Irwin,168.5,80%,168.5,20%,168.5
,Scotty Miller,168.5,80%,168.5,20%,168.5
,Kadarius Toney,168.5,80%,168.5,20%,168.5
,Anthony Schwartz,168.5,80%,168.5,20%,168.5
,A.T. Perry,168.5,80%,168.5,20%,168.5
,Erik Ezukanma,168.5,80%,168.5,20%,168.5
,Ben Skowronek,168.5,80%,168.5,20%,168.5
,Jaelon Darden,168.5,80%,168.5,20%,168.5
,Robert Woods,168.5,80%,168.5,20%,168.5
,Bryce Ford-Wheaton,168.5,80%,168.5,20%,168.5
,Deonte Harty,168.5,80%,168.5,20%,168.5
,Ihmir Smith-Marsette,168.5,80%,168.5,20%,168.5
,Marquez Callaway,168.5,80%,168.5,20%,168.5
,Trent Sherfield,168.5,80%,168.5,20%,168.5
,Kyle Philips,168.5,80%,168.5,20%,168.5
,Donovan Peoples-Jones,168.5,80%,168.5,20%,168.5
,Zach Pascal,168.5,80%,168.5,20%,168.5
,Braxton Berrios,168.5,80%,168.5,20%,168.5
,Parris Campbell,168.5,80%,168.5,20%,168.5
,Danny Gray,168.5,80%,168.5,20%,168.5
,Jamison Crowder,168.5,80%,168.5,20%,168.5
,DeAndre Carter,168.5,80%,168.5,20%,168.5
,D'Wayne Eskridge,168.5,80%,168.5,20%,168.5
,DeVante Parker,168.5,80%,168.5,20%,168.5
,Equanimeous St. Brown,168.5,80%,168.5,20%,168.5
,Denzel Mims,168.5,80%,168.5,20%,168.5
,Jalen Guyton,168.5,80%,168.5,20%,168.5
,Quez Watkins,168.5,80%,168.5,20%,168.5
,River Cracraft,168.5,80%,168.5,20%,168.5
,Tre'Quan Smith,168.5,80%,168.5,20%,168.5
,Velus Jones,168.5,80%,168.5,20%,168.5
,Marquise Goodwin,168.5,80%,168.5,20%,168.5
,Michael Gallup,168.5,80%,168.5,20%,168.5
,Miles Boykin,168.5,80%,168.5,20%,168.5
,Michael Thomas,168.5,80%,168.5,20%,168.5
,Richie James,168.5,80%,168.5,20%,168.5
,Samori Toure,168.5,80%,168.5,20%,168.5
,Dee Eskridge,168.5,80%,168.5,20%,168.5
,Jamal Agnew,168.5,80%,168.5,20%,168.5
,Jason Brownlee,168.5,80%,168.5,20%,168.5
,Josh Doctson,168.5,80%,168.5,20%,168.5
,Bryan Edwards,168.5,80%,168.5,20%,168.5
,Chris Moore,168.5,80%,168.5,20%,168.5
,Russell Gage,168.5,80%,168.5,20%,168.5
,James Washington,168.5,80%,168.5,20%,168.5
,Julio Jones,168.5,80%,168.5,20%,168.5
,Marvin Jones,168.5,80%,168.5,20%,168.5
,N'Keal Harry,168.5,80%,168.5,20%,168.5
,Randall Cobb,168.5,80%,168.5,20%,168.5
,Jacob Harris,168.5,80%,168.5,20%,168.5
,Taylor Gabriel,168.5,80%,168.5,20%,168.5
,Taywan Taylor,168.5,80%,168.5,20%,168.5
,Hunter Renfrow,168.5,80%,168.5,20%,168.5
,Auden Tate,168.5,80%,168.5,20%,168.5
,Chase Claypool,168.5,80%,168.5,20%,168.5
,Allen Robinson,168.5,80%,168.5,20%,168.5
,Amari Rodgers,168.5,80%,168.5,20%,168.5
12522,Cam Ward,26,70%,24,30%,64.5
12508,Jaxson Dart,14.5,80%,14.5,20%,64.5
12545,Tyler Shough,19.5,50%,19.5,50%,64.5
12527,Ashton Jeanty,8.5,50%,8.5,50%,5
12507,Omarion Hampton,8.5,50%,8.5,50%,14.5
12517,Colston Loveland,5.5,90%,5.5,10%,3
12518,Tyler Warren,5.5,50%,5.5,50%,3
12526,Tetairoa McMillan,31,50%,31,50%,6
12530,Travis Hunter,79.5,70%,79.5,30%,4.5
12514,Emeka Egbuka,20.5,80%,20.5,20%,40.5
12501,Matthew Golden,79.5,90%,79.5,10%,31
12512,Quinshon Judkins,22.5,20%,22.5,80%,8.5
12529,TreVeyon Henderson,29,30%,29,70%,22.5
12489,RJ Harvey,29,50%,29,50%,22.5
12504,Kaleb Johnson,119.5,80%,119.5,20%,22.5
12498,Mason Taylor,25,80%,25,20%,11.5
12487,Terrance Ferguson,15,50%,15,50%,40.5
12521,Elijah Arroyo,40.5,80%,40.5,20%,20
12506,Harold Fannin,5.5,50%,5.5,50%,11.5
12484,Jayden Higgins,79.5,50%,79.5,50%,31
12519,Luther Burden,31,90%,31,10%,7
12509,Tre' Harris,51.5,60%,51.5,40%,168.5
12483,Jack Bech,67,50%,67,50%,40.5
12547,Kyle Williams,67,80%,67,20%,51.5
12535,Isaac TeSlaa,79.5,40%,79.5,60%,168.5
12492,Pat Bryant,67,50%,67,50%,51.5
12536,Jaylin Noel,67,50%,67,50%,40.5
12496,Tai Felton,168.5,95%,168.5,5%,168.5
12510,Jalen Milroe,64.5,95%,64.5,5%,14.5
12481,Cam Skattebo,35.5,80%,22.5,20%,14.5
12490,Bhayshul Tuten,22.5,60%,22.5,40%,41.5
12469,Dylan Sampson,46.5,50%,46.5,50%,54.5
12457,Jaydon Blue,119.5,50%,119.5,50%,46.5
12543,Tahj Brooks,119.5,50%,119.5,50%,54.5
12476,Devin Neal,54.5,50%,54.5,50%,119.5
12495,Ollie Gordon,54.5,50%,54.5,50%,119.5
12531,Trevor Etienne,119.5,50%,119.5,50%,54.5
12474,Woody Marks,29,50%,29,50%,46.5
11569,Jarquez Hunter,119.5,90%,119.5,10%,46.5
12455,Brashard Smith,119.5,60%,119.5,40%,46.5
12534,Kyle Monangai,29,80%,29,20%,54.5
12502,Gunnar Helm,33.5,80%,33.5,20%,15
12493,Oronde Gadsden,15,50%,15,50%,25
12499,Elic Ayomanor,67,40%,67,60%,168.5
12670,KeAndre Lambert-Smith,168.5,95%,168.5,5%,168.5
12497,Tory Horton,168.5,70%,51.5,30%,168.5
12524,Shedeur Sanders,26,10%,26,90%,64.5
12511,Will Howard,64.5,80%,64.5,20%,64.5
12467,Jordan James,119.5,20%,119.5,80%,54.5
12471,DJ Giddens,119.5,50%,119.5,50%,54.5
12516,Kalel Mullings,119.5,90%,119.5,10%,119.5
12462,Damien Martinez,119.5,80%,119.5,20%,119.5
12540,Chimere Dike,168.5,80%,168.5,20%,168.5
12541,Dont'e Thornton Jr.,168.5,80%,168.5,20%,168.5
12539,Arian Smith,168.5,80%,168.5,20%,168.5
12641,Jaylin Lane,168.5,80%,168.5,20%,168.5
12505,Jalen Royals,168.5,80%,168.5,20%,168.5
12634,Jordan Watkins,168.5,80%,168.5,20%,168.5
12533,Jacory Croskey-Merritt,41.5,50%,41.5,50%,54.5
12486,Dillon Gabriel,64.5,95%,64.5,5%,64.5
12503,Isaiah Bond,168.5,50%,168.5,50%,168.5
12485,Tez Johnson,168.5,50%,168.5,50%,168.5
12500,Quinn Ewers,64.5,95%,64.5,5%,26
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
,,,80%,,,
